Category,State or City,Number of Suicides,Percentage Share in Total Suicides,Projected Mid-Year Population(in Lakh),Rate of Suicides,Year
Union Territory,DELHI (UT),1899,1.4,191.64,9.9,2012
City,JAMSHEDPUR,133,0.7,13.37,9.9,2012
City,AHMEDABAD,614,3.2,63.52,9.7,2012
City,JODHPUR,109,0.6,11.38,9.6,2012
City,KANNUR,153,0.8,16.43,9.3,2012
City,DELHI (CITY),1397,7.3,163.15,8.6,2012
City,HYDERABAD,651,3.4,77.49,8.4,2012
City,LUCKNOW,225,1.2,29.01,7.8,2012
State,HIMACHAL PRADESH,528,0.4,68.78,7.7,2012
City,RANCHI,85,0.4,11.27,7.5,2012
Union Territory,CHANDIGARH,114,0.1,15.32,7.4,2012
City,DHANBAD,86,0.4,11.95,7.2,2012
City,ALLAHABAD,87,0.5,12.17,7.1,2012
City,MUMBAI,1296,6.8,184.14,7.0,2012
State,RAJASTHAN,4821,3.6,692.49,7.0,2012
City,KOTA,70,0.4,10.01,7.0,2012
City,LUDHIANA,98,0.5,16.14,6.1,2012
City,VARANASI,75,0.4,14.35,5.2,2012
City,MEERUT,74,0.4,14.25,5.2,2012
City,AMRITSAR,60,0.3,11.84,5.1,2012
State,MEGHALAYA,128,0.1,26.61,4.8,2012
State,UTTARAKHAND,424,0.3,101.31,4.2,2012
State,JHARKHAND,1319,1.0,320.50,4.1,2012
State,PUNJAB,1030,0.8,280.83,3.7,2012
State,JAMMU & KASHMIR,414,0.3,119.14,3.5,2012
City,GHAZIABAD,72,0.4,23.59,3.1,2012
City,MALAPPURAM,50,0.3,16.99,2.9,2012
City,KOLKATA,371,1.9,141.13,2.6,2012
City,PATNA,52,0.3,20.47,2.5,2012
State,UTTAR PRADESH,4422,3.3,2054.26,2.2,2012
City,ASANSOL,24,0.1,12.43,1.9,2012
City,AGRA,31,0.2,17.46,1.8,2012
State,MANIPUR,41,0.0,24.87,1.6,2012
State,NAGALAND,30,0.0,22.84,1.3,2012
Union Territory,LAKSHADWEEP,1,0.0,0.77,1.3,2012
City,SRINAGAR,12,0.1,12.73,0.9,2012
State,BIHAR,759,0.6,994.57,0.8,2012
City,ASANSOL,819,3.8,12.4,65.9,2013
City,KOLLAM,432,2.0,11.1,38.9,2013
Union Territory,PUDUCHERRY,546,0.4,15.3,35.6,2013
City,RAJKOT,453,2.1,13.9,32.6,2013
State,SIKKIM,184,0.1,6.3,29.3,2013
Union Territory,A & N ISLANDS,151,0.1,5.3,28.8,2013
City,CHENNAI,2450,11.5,87.0,28.2,2013
City,DURG BHILAINAGAR,292,1.4,10.6,27.4,2013
State,TRIPURA,961,0.7,37.1,25.9,2013
City,INDORE,540,2.5,21.7,24.9,2013
State,KERALA,8646,6.4,351.1,24.6,2013
City,RAIPUR,276,1.3,11.2,24.6,2013
State,TAMIL NADU,16601,12.3,684.0,24.3,2013
City,JABALPUR,304,1.4,12.7,24.0,2013
City,BENGALURU,2033,9.5,85.0,23.9,2013
City,KANPUR,648,3.0,29.2,22.2,2013
State,CHHATTISGARH,5436,4.0,250.2,21.7,2013
Union Territory,D & N HAVELI,84,0.1,3.9,21.4,2013
City,ALLAHABAD,255,1.2,12.2,21.0,2013
City,NAGPUR,523,2.5,25.0,20.9,2013
City,THIRUVANANTHAPURAM,353,1.7,16.9,20.9,2013
City,BHOPAL,384,1.8,18.8,20.4,2013
City,COIMBATORE,414,1.9,21.5,19.3,2013
City,GWALIOR,211,1.0,11.0,19.2,2013
State,KARNATAKA,11266,8.4,608.2,18.5,2013
City,NASIK,282,1.3,15.6,18.0,2013
City,MADURAI,263,1.2,14.6,18.0,2013
State,ARUNACHAL PRADESH,229,0.2,12.7,18.0,2013
City,PUNE,880,4.1,50.5,17.4,2013
State,GOA,328,0.2,18.9,17.4,2013
City,AURANGABAD,202,0.9,11.9,17.0,2013
State,ANDHRA PRADESH,14607,10.8,864.8,16.9,2013
City,VIJAYAWADA,248,1.2,14.9,16.6,2013
City,TIRUCHIRAPPALLI,169,0.8,10.2,16.5,2013
City,VASAI VIRAR,193,0.9,12.2,15.8,2013
State,MAHARASHTRA,16622,12.3,1162.1,14.3,2013
State,WEST BENGAL,13055,9.7,913.9,14.3,2013
City,VISHAKHAPATNAM,248,1.2,17.3,14.3,2013
City,SURAT,603,2.8,45.9,13.2,2013
City,THRISSUR,242,1 1,18 6,13 1,2013
State,MADHYA PRADESH,9446,7.0,748.7,12.6,2013
State,ODISHA,5252,3.9,415.7,12.6,2013
State,HARYANA,3316,2.5,264.1,12.6,2013
City,FARIDABAD,172,0.8,14.1,12.2,2013
State,GUJARAT,7166,5.3,608.3,11.8,2013
City,KOZHIKODE,240,1.1,20.3,11.8,2013
City,JAIPUR,353,1.7,30.7,11.5,2013
State,ASSAM,3553,2.6,314.5,11.3,2013
City,VADODARA,206,1.1,18.2,11.3,2013
City,DELHI (CITY),1753,8.2,163.2,10.7,2013
City,AHMEDABAD,671,3.1,63.5,10.6,2013
Union Territory,DELHI (UT),2059,1.5,197.1,10.4,2013
City,KOCHI,216,1.0,21.2,10.2,2013
City,JAMSHEDPUR,133,0.6,13.4,10.0,2013
Union Territory,DAMAN & DIU,29,0.0,3.0,9.8,2013
City,KANNUR,153,0.7,16.4,9.3,2013
City,RANCHI,104,0.5,11.3,9.2,2013
City,CHANDIGARH (CITY),94,0.4,10.3,9.2,2013
State,MIZORAM,95,0.1,10.3,9.2,2013
City,JODHPUR,103,0.5,11.4,9.1,2013
City,LUCKNOW,245,1.1,29.0,8.5,2013
City,VARANASI,121,0.6,14.4,8.4,2013
City,HYDERABAD,629,3.0,77.5,8.1,2013
State,HIMACHAL PRADESH,554,0.4,69.4,8.0,2013
City,MUMBAI,1322,6.2,184.1,7.2,2013
City,DHANBAD,83,0.4,12.0,7.0,2013
State,RAJASTHAN,4860,3.6,702.9,6.9,2013
City,GHAZIABAD,160,0.8,23.6,6.8,2013
City,KOTA,62,0.3,10.0,6.2,2013
Union Territory,CHANDIGARH,97,0.1,16.1,6.0,2013
State,MEGHALAYA,137,0.1,26.9,5.1,2013
City,AMRITSAR,54,0.3,11.8,4.6,2013
State,JHARKHAND,1460,1.1,324.8,4.5,2013
City,PATNA,93,0.4,20.5,4.5,2013
City,MEERUT,62,0.3,14.3,4.4,2013
City,AGRA,68,0.3,17.5,3.9,2013
Union Territory,LAKSHADWEEP,3,0.0,0.8,3.9,2013
State,UTTARAKHAND,365,0.3,102.7,3.6,2013
City,MALAPPURAM,61,0.3,17.0,3.6,2013
State,PUNJAB,972,0.7,283.8,3.4,2013
City,LUDHIANA,54,0.3,16.1,3.4,2013
City,KOLKATA,377,1.8,141.1,2.7,2013
State,UTTAR PRADESH,5286,3.9,2089.2,2.5,2013
State,JAMMU & KASHMIR,302,0.2,120.6,2.5,2013
State,NAGALAND,37,0.0,23.1,1.6,2013
State,MANIPUR,37,0.0,25.2,1.5,2013
State,BIHAR,1057,0.8,1007.2,1.1,2013
City,SRINAGAR,7,0.0,12.7,0.6,2013
Union Territory,PUDUCHERRY,644,0.5,15.9,40.4,2014
City,KOLLAM,447,2.2,11.1,40.3,2014
State,SIKKIM,244,0.2,6.4,38.4,2014
City,ASANSOL,388,1.9,12.4,31.3,2014
City,DURG BHILAINAGAR,311,1.5,10.6,29.3,2014
Union Territory,A & N ISLANDS,155,0.1,5.4,28.9,2014
City,RAJKOT,397,1.9,13.9,28.6,2014
City,RAIPUR,300,1.5,11.2,26.8,2014
State,TELANGANA,9623,7.3,362.7,26.5,2014
City,CHENNAI,2214,10.7,87.0,25.4,2014
State,KERALA,8446,6.4,353.3,23.9,2014
City,INDORE,512,2.5,21.7,23.6,2014
State,TAMIL NADU,16122,12.2,687.8,23.4,2014
City,BENGALURU,1906,9.2,85.0,22.4,2014
State,CHHATTISGARH,5683,4.3,253.4,22.4,2014
City,JABALPUR,277,1.3,12.7,21.8,2014
City,GWALIOR,235,1.1,11.0,21.4,2014
City,NAGPUR,513,2.5,25.0,20.5,2014
State,TRIPURA,762,0.6,37.6,20.3,2014
City,COIMBATORE,427,2.1,21.5,19.9,2014
City,VIJAYAWADA,289,1.4,14.9,19.4,2014
City,THIRUVANANTHAPURAM,327,1.6,16.9,19.3,2014
Union Territory,D & N HAVELI,76,0.1,4.1,18.7,2014
State,KARNATAKA,10945,8.3,614.1,17.8,2014
City,NASIK,275,1.3,15.6,17.6,2014
City,PUNE,852,4.1,50.5,16.9,2014
City,VASAI VIRAR,200,1.0,12.2,16.4,2014
State,WEST BENGAL,14310,10.9,921.9,15.5,2014
State,GOA,291,0.2,19.3,15.1,2014
City,MADURAI,213,1.0,14.6,14.6,2014
City,SURAT,654,3.2,45.9,14.2,2014
City,AHMEDABAD,890,4.3,63.5,14.0,2014
State,MAHARASHTRA,16307,12.4,1176.9,13.9,2014
City,TIRUCHIRAPPALLI,139,0.7,10.2,13.6,2014
City,THRISSUR,233,1.1,18.6,12.5,2014
City,JAIPUR,380,1.8,30.7,12.4,2014
City,VADODARA,225,1.1,18.2,12.4,2014
City,AURANGABAD,147,0.7,11.9,12.4,2014
State,ARUNACHAL PRADESH,156,0.1,12.9,12.1,2014
State,ANDHRA PRADESH,6101,4.6,509.2,12.0,2014
City,VISHAKHAPATNAM,208,1.0,17.3,12.0,2014
State,MADHYA PRADESH,9039,6.9,760.0,11.9,2014
State,HARYANA,3203,2.4,268.1,11.9,2014
State,GUJARAT,7225,5.5,615.9,11.7,2014
City,DELHI (CITY),1847,9.0,163.2,11.3,2014
State,ASSAM,3546,2.7,318.2,11.1,2014
State,MIZORAM,116,0.1,10.4,11.1,2014
City,KOCHI,223,1.1,21.2,10.5,2014
Union Territory,DELHI (UT),2095,1.6,202.8,10.3,2014
City,JODHPUR,117,0.6,11.4,10.3,2014
City,JAMSHEDPUR,134,0.6,13.4,10.0,2014
City,KOTA,100,0.5,10.0,10.0,2014
State,ODISHA,4160,3.2,419.1,9.9,2014
City,KOZHIKODE,201,1.0,20.3,9.9,2014
City,CHANDIGARH (CITY),102,0.5,10.3,9.9,2014
City,HYDERABAD,741,3.6,77.5,9.6,2014
City,KANNUR,154,0.7,16.4,9.4,2014
City,GHAZIABAD,217,1.1,23.6,9.2,2014
State,HIMACHAL PRADESH,644,0.5,70.0,9.2,2014
City,RANCHI,104,0.5,11.3,9.2,2014
City,FARIDABAD,128,0.6,14.1,9.1,2014
Union Territory,DAMAN & DIU,27,0.0,3.1,8.7,2014
City,ALLAHABAD,91,0.4,12.2,7.5,2014
City,DHANBAD,82,0.4,12.0,6.8,2014
City,MUMBAI,1196,5.8,184.1,6.5,2014
State,RAJASTHAN,4459,3.4,713.2,6.3,2014
Union Territory,CHANDIGARH,105,0.1,16.8,6.3,2014
City,LUDHIANA,98,0.5,16.1,6.1,2014
City,VARANASI,86,0.4,14.4,6.0,2014
City,LUCKNOW,162,0.8,29.0,5.6,2014
City,AGRA,96,0.5,17.5,5.5,2014
City,KANPUR,138,0.7,29.2,4.7,2014
City,PATNA,91,0.4,20.5,4.4,2014
State,JHARKHAND,1300,1.0,329.1,4.0,2014
Union Territory,LAKSHADWEEP,3,0.0,0.8,3.8,2014
State,MEGHALAYA,99,0.1,27.2,3.6,2014
State,PUNJAB,943,0.7,286.7,3.3,2014
City,MALAPPURAM,56,0.3,17.0,3.3,2014
City,AMRITSAR,36,0.2,11.8,3.1,2014
City,KOLKATA,360,1.7,141.1,2.6,2014
State,JAMMU & KASHMIR,258,0.2,122.0,2.1,2014
City,BHOPAL,40,0.2,18.8,2.1,2014
State,UTTARAKHAND,207,0.2,104.1,2.0,2014
City,MEERUT,29,0.1,14.3,2.0,2014
State,MANIPUR,50,0.0,25.4,2.0,2014
State,UTTAR PRADESH,3590,2.7,2123.9,1.7,2014
State,BIHAR,719,0.5,1019.4,0.7,2014
City,SRINAGAR,9,0.0,12.7,0.7,2014
State,NAGALAND,13,0.0,23.4,0.6,2014
Union Territory,PUDUCHERRY,711,0.5,16.5,43.2,2015
State,SIKKIM,241,0.2,6.4,37.5,2015
City,DURG BHILAINAGAR,370,1.9,10.6,34.9,2015
City,KOLLAM,361,1.8,11.1,32.5,2015
City,RAJKOT,414,2.1,13.9,29.8,2015
Union Territory,A & N ISLANDS,158,0.1,5.5,28.9,2015
State,TELANGANA,10140,7.6,365.6*,27.7,2015
State,CHHATTISGARH,7118,5.3,256.6,27.7,2015
City,ASANSOL,341,1.7,12.4,27.5,2015
City,CHENNAI,2274,11.6,87,26.1,2015
Union Territory,D & N HAVELI,106,0.1,4.2,25.4,2015
City,INDORE,528,2.7,21.7,24.3,2015
State,TAMIL NADU,15777,11.8,691.6,22.8,2015
City,BENGALURU,1855,9.4,85,21.8,2015
State,KERALA,7692,5.8,355.5,21.6,2015
City,RAIPUR,239,1.2,11.2,21.3,2015
City,COIMBATORE,454,2.3,21.5,21.1,2015
City,GWALIOR,232,1.2,11,21.1,2015
City,VIJAYAWADA,311,1.6,14.9,20.9,2015
City,BHOPAL,378,1.9,18.8,20.1,2015
City,MADURAI,294,1.5,14.6,20.1,2015
State,TRIPURA,746,0.6,38,19.6,2015
City,NAGPUR,483,2.5,25,19.3,2015
City,JABALPUR,245,1.2,12.7,19.3,2015
City,TIRUCHIRAPPALLI,187,1,10.2,18.3,2015
City,FARIDABAD,256,1.3,14.1,18.2,2015
City,THIRUVANANTHAPURAM,303,1.5,16.9,17.9,2015
State,KARNATAKA,10786,8.1,619.9,17.4,2015
City,PUNE,873,4.4,50.5,17.3,2015
City,NASIK,266,1.4,15.6,17.1,2015
State,WEST BENGAL,14602,10.9,930,15.7,2015
State,GOA,302,0.2,19.7,15.4,2015
City,SURAT,663,3.4,45.9,14.4,2015
City,VASAI VIRAR,176,0.9,12.2,14.4,2015
State,MAHARASHTRA,16970,12.7,1191.4,14.2,2015
City,AHMEDABAD,869,4.4,63.5,13.7,2015
City,AURANGABAD,161,0.8,11.9,13.5,2015
State,MADHYA PRADESH,10293,7.7,771.3,13.3,2015
State,HARYANA,3545,2.7,272.2,13,2015
State,ANDHRA PRADESH,6226,4.7,513.4,12.1,2015
City,VADODARA,219,1.1,18.2,12,2015
Union Territory,DAMAN & DIU,38,0,3.2,11.8,2015
City,THRISSUR,217,1.1,18.6,11.7,2015
State,MIZORAM,123,0.1,10.6,11.7,2015
State,GUJARAT,7246,5.4,623.3,11.6,2015
City,JAIPUR,354,1.8,30.7,11.5,2015
City,KOCHI,235,1.2,21.2,11.1,2015
City,CHANDIGARH (CITY),113,0.6,10.3,11,2015
City,KOTA,105,0.5,10,10.5,2015
State,ARUNACHAL PRADESH,135,0.1,13,10.4,2015
City,KOZHIKODE,207,1.1,20.3,10.2,2015
City,VISHAKHAPATNAM,177,0.9,17.3,10.2,2015
State,ASSAM,3231,2.4,322,10,2015
State,ODISHA,4087,3.1,422.5,9.7,2015
City,DELHI (CITY),1553,7.9,163.2,9.5,2015
City,HYDERABAD,728,3.7,77.5,9.4,2015
City,KANNUR,151,0.8,16.4,9.2,2015
City,KANPUR,267,1.4,29.2,9.1,2015
City,JODHPUR,101,0.5,11.4,8.9,2015
Union Territory,DELHI (UT),1845,1.4,208.8,8.8,2015
City,LUCKNOW,250,1.3,29,8.6,2015
City,GHAZIABAD,204,1,23.6,8.6,2015
City,VARANASI,121,0.6,14.4,8.4,2015
City,JAMSHEDPUR,113,0.6,13.4,8.4,2015
City,ALLAHABAD,98,0.5,12.2,8,2015
City,LUDHIANA,126,0.6,16.1,7.8,2015
State,HIMACHAL PRADESH,543,0.4,70.6,7.7,2015
Union Territory,CHANDIGARH,121,0.1,17.4,6.9,2015
City,AGRA,116,0.6,17.5,6.6,2015
Union Territory,LAKSHADWEEP,5,0,0.8,6.3,2015
State,MEGHALAYA,172,0.1,27.5,6.2,2015
City,MUMBAI,1122,5.7,184.1,6.1,2015
State,RAJASTHAN,3457,2.6,723.1,4.8,2015
State,UTTARAKHAND,475,0.4,105.4,4.5,2015
City,DHANBAD,46,0.2,12,3.8,2015
State,PUNJAB,1049,0.8,289.4,3.6,2015
City,MALAPPURAM,61,0.3,17,3.6,2015
City,AMRITSAR,42,0.2,11.8,3.6,2015
State,JAMMU & KASHMIR,372,0.3,123.4,3,2015
City,PATNA,58,0.3,20.5,2.8,2015
State,JHARKHAND,835,0.6,333.5,2.5,2015
City,KOLKATA,339,1.7,141.1,2.4,2015
State,UTTAR PRADESH,3902,2.9,2158.4,1.8,2015
State,MANIPUR,37,0,25.7,1.4,2015
State,NAGALAND,21,0,23.6,0.9,2015
City,SRINAGAR,8,0,12.7,0.6,2015
State,BIHAR,516,0.4,1031.4,0.5,2015
City,MEERUT,1,0,14.3,0.1,2015
City,RANCHI,0,0,11.3,0,2015
State,SIKKIM,263,0.2,6.49,40.5,2016
City,DURG BHILAINAGAR,388,1.9,10.64,36.5,2016
City,RAJKOT,479,2.3,13.91,34.4,2016
City,KOLLAM,379,1.8,11.1,34.1,2016
Union Territory,PUDUCHERRY,561,0.4,16.83,33.3,2016
City,JABALPUR,398,1.9,12.68,31.4,2016
City,ASANSOL,384,1.8,12.43,30.9,2016
Union Territory,A & N ISLANDS,146,0.1,5.54,26.4,2016
State,CHHATTISGARH,6705,5.1,259.88,25.8,2016
City,INDORE,537,2.6,21.67,24.8,2016
City,NAGPUR,617,3,24.98,24.7,2016
State,TELANGANA,9019,6.9,368.53,24.5,2016
City,CHENNAI,2029,9.7,86.96,23.3,2016
City,MADURAI,321,1.5,14.62,22,2016
City,GWALIOR,242,1.2,11.02,22,2016
State,TAMIL NADU,15182,11.6,695.18,21.8,2016
State,KERALA,7705,5.9,357.45,21.6,2016
City,BHOPAL,407,1.9,18.83,21.6,2016
City,BENGALURU,1795,8.6,84.99,21.1,2016
City,RAIPUR,234,1.1,11.23,20.8,2016
City,RANCHI,226,1.1,11.27,20.1,2016
City,NASIK,313,1.5,15.63,20,2016
City,COIMBATORE,419,2,21.51,19.5,2016
City,VIJAYAWADA,284,1.4,14.91,19,2016
City,PUNE,947,4.5,50.5,18.8,2016
City,THIRUVANANTHAPURAM,307,1.5,16.87,18.2,2016
City,VASAI VIRAR,220,1.1,12.21,18,2016
City,AURANGABAD,211,1,11.89,17.7,2016
State,TRIPURA,677,0.5,38.40,17.6,2016
City,TIRUCHIRAPPALLI,177,0.8,10.22,17.3,2016
State,KARNATAKA,10687,8.2,625.68,17.1,2016
City,SURAT,761,3.6,45.85,16.6,2016
City,AHMEDABAD,937,4.5,63.52,14.8,2016
City,VISHAKHAPATNAM,250,1.2,17.3,14.5,2016
State,MAHARASHTRA,17195,13.1,1205.54,14.3,2016
State,WEST BENGAL,13451,10.3,938.27,14.3,2016
State,GOA,273,0.2,19.85,13.8,2016
City,DHANBAD,164,0.8,11.95,13.7,2016
State,MADHYA PRADESH,10442,8.0,782.55,13.3,2016
State,HARYANA,3665,2.8,276.12,13.3,2016
Union Territory,D & N HAVELI,55,0.0,4.25,12.9,2016
City,FARIDABAD,180,0.9,14.05,12.8,2016
State,GUJARAT,7735,5.9,630.75,12.3,2016
City,KANPUR,358,1.7,29.2,12.3,2016
City,THRISSUR,225,1.1,18.55,12.1,2016
City,VADODARA,220,1.1,18.17,12.1,2016
City,JAIPUR,366,1.8,30.73,11.9,2016
City,JODHPUR,135,0.6,11.38,11.9,2016
State,ANDHRA PRADESH,6059,4.6,517.43,11.7,2016
City,DELHI (CITY),1899,9.1,163.15,11.6,2016
State,MIZORAM,124,0.1,10.67,11.6,2016
City,KOTA,115,0.6,10.01,11.5,2016
City,KOCHI,228,1.1,21.18,10.8,2016
City,CHANDIGARH (CITY),111,0.5,10.26,10.8,2016
Union Territory,DAMAN & DIU,36,0.0,3.34,10.8,2016
Union Territory,DELHI (UT),2155,1.6,214.92,10.0,2016
City,KOZHIKODE,193,0.9,20.31,9.5,2016
State,ASSAM,3023,2.3,325.77,9.3,2016
State,ODISHA,3904,3.0,425.93,9.2,2016
State,ARUNACHAL PRADESH,121,0.1,13.18,9.2,2016
State,HIMACHAL PRADESH,642,0.5,71.15,9.0,2016
City,ALLAHABAD,110,0.5,12.17,9,2016
City,HYDERABAD,666,3.2,77.49,8.6,2016
City,LUCKNOW,239,1.1,29.01,8.2,2016
City,JAMSHEDPUR,110,0.5,13.37,8.2,2016
City,LUDHIANA,130,0.6,16.14,8.1,2016
City,KANNUR,131,0.6,16.43,8,2016
City,AGRA,119,0.6,17.46,6.8,2016
Union Territory,CHANDIGARH,123,0.1,18.01,6.8,2016
City,MUMBAI,1205,5.8,184.14,6.5,2016
City,GHAZIABAD,147,0.7,23.59,6.2,2016
State,MEGHALAYA,166,0.1,27.84,6.0,2016
City,AMRITSAR,69,0.3,11.84,5.8,2016
State,RAJASTHAN,3678,2.8,732.76,5.0,2016
State,PUNJAB,1440,1.1,292.01,4.9,2016
City,MALAPPURAM,73,0.3,16.99,4.3,2016
City,VARANASI,61,0.3,14.35,4.3,2016
City,PATNA,86,0.4,20.47,4.2,2016
State,JHARKHAND,1292,1.0,338.03,3.8,2016
Union Territory,LAKSHADWEEP,3,0.0,0.82,3.7,2016
State,JAMMU & KASHMIR,329,0.3,124.63,2.6,2016
City,KOLKATA,242,1.2,141.13,1.7,2016
State,UTTAR PRADESH,3518,2.7,2192.39,1.6,2016
City,MEERUT,23,0.1,14.25,1.6,2016
State,UTTARAKHAND,152,0.1,106.77,1.4,2016
State,MANIPUR,37,0.0,26.01,1.4,2016
State,NAGALAND,34,0.0,23.89,1.4,2016
City,SRINAGAR,12,0.1,12.73,0.9,2016
State,BIHAR,411,0.3,1043.03,0.4,2016
Union Territory,PUDUCHERRY,581,0.4,14.5,40.1,2017
City,KOLLAM,413,1.9,11.1,37.2,2017
Union Territory,A & N ISLANDS,139,0.1,3.9,35.6,2017
State,SIKKIM,214,0.2,6.5,32.9,2017
City,DURG BHILAINAGAR,339,1.6,10.6,32.0,2017
City,RAJKOT,438,2.1,13.9,31.5,2017
City,GWALIOR,287,1.4,11.0,26.1,2017
City,CHENNAI,2229,10.5,87.0,25.6,2017
City,NAGPUR,636,3.0,25.0,25.4,2017
City,INDORE,521,2.5,21.7,24.0,2017
City,BENGALURU,2032,9.6,85.0,23.9,2017
City,AURANGABAD,276,1.3,11.9,23.2,2017
City,MADURAI,335,1.6,14.6,22.9,2017
State,KERALA,7870,6.1,348.2,22.6,2017
State,CHHATTISGARH,6312,4.9,280.8,22.5,2017
City,RAIPUR,248,1.2,11.2,22.1,2017
City,DHANBAD,264,1.2,12.0,22.0,2017
City,JABALPUR,276,1.3,12.7,21.7,2017
City,BHOPAL,392,1.8,18.8,20.9,2017
State,TELANGANA,7620,5.9,367.8,20.7,2017
City,RANCHI,234,1.1,11.3,20.7,2017
City,VASAI VIRAR,245,1.2,12.2,20.1,2017
State,TAMIL NADU,14459,11.1,751.1,19.3,2017
City,PUNE,965,4.5,50.5,19.1,2017
City,TIRUCHIRAPPALLI,194,0.9,10.2,19.0,2017
City,NASIK,295,1.4,15.6,18.9,2017
City,COIMBATORE,393,1.9,21.5,18.3,2017
City,ASANSOL,225,1.1,12.4,18.1,2017
State,KARNATAKA,11716,9,649.3,18,2017
State,GOA,273,0.2,15.2,18,2017
City,THIRUVANANTHAPURAM,303,1.4,16.9,17.9,2017
City,VIJAYAWADA,263,1.2,14.9,17.7,2017
State,TRIPURA,692,0.5,39.2,17.7,2017
City,KANPUR,514,2.4,29.2,17.6,2017
City,SURAT,760,3.6,45.9,16.6,2017
Union Territory,D & N HAVELI,75,0.1,4.9,15.3,2017
State,MAHARASHTRA,17646,13.6,1202.5,14.7,2017
State,MADHYA PRADESH,11770,9.1,803.3,14.7,2017
State,MEGHALAYA,165,0.1,11.7,14.1,2017
City,DELHI (CITY),2189,10.3,163.2,13.4,2017
City,THRISSUR,243,1.1,18.6,13.1,2017
City,JODHPUR,147,0.7,11.4,12.9,2017
Union Territory,DELHI (UT),2462,1.9,191.8,12.8,2017
City,VISHAKHAPATNAM,218,1.0,17.3,12.6,2017
State,WEST BENGAL,12014,9.2,958.9,12.5,2017
City,AHMEDABAD,778,3.7,63.5,12.3,2017
State,HARYANA,3387,2.6,280,12.1,2017
City,KOTA,121,0.6,10.0,12.1,2017
City,KOZHIKODE,243,1.1,20.3,12.0,2017
City,VADODARA,216,1.0,18.2,11.9,2017
City,JAIPUR,362,1.7,30.7,11.8,2017
City,FARIDABAD,165,0.8,14.1,11.7,2017
State,GUJARAT,7418,5.7,663.9,11.2,2017
City,KOCHI,236,1.1,21.2,11.1,2017
Union Territory,DAMAN & DIU,41,0,3.7,11.1,2017
State,ODISHA,4493,3.5,433.7,10.4,2017
State,ANDHRA PRADESH,5354,4.1,517.5,10.3,2017
City,KANNUR,169,0.8,16.4,10.3,2017
City,CHANDIGARH (CITY),102,0.5,10.3,9.9,2017
Union Territory,CHANDIGARH,113,0.1,11.6,9.7,2017
City,LUDHIANA,147,0.7,16.1,9.1,2017
City,LUCKNOW,234,1.1,29.0,8.1,2017
State,HIMACHAL PRADESH,576,0.4,72.2,8,2017
City,GHAZIABAD,183,0.9,23.6,7.8,2017
City,JAMSHEDPUR,104,0.5,13.4,7.8,2017
City,HYDERABAD,555,2.6,77.5,7.2,2017
State,ASSAM,2276,1.8,336.7,6.8,2017
City,MUMBAI,1155,5.4,184.1,6.3,2017
City,AGRA,107,0.5,17.5,6.1,2017
City,MALAPPURAM,103,0.5,17.0,6.1,2017
State,ARUNACHAL PRADESH,89,0.1,14.8,6,2017
State,RAJASTHAN,3838,3,755.8,5.1,2017
State,PUNJAB,1481,1.1,294.6,5,2017
City,AMRITSAR,53,0.2,11.8,4.5,2017
City,PATNA,78,0.4,20.5,3.8,2017
State,JHARKHAND,1214,0.9,365.1,3.3,2017
State,UTTARAKHAND,331,0.3,109.3,3,2017
State,MIZORAM,91,0.1,31.7,2.9,2017
State,JAMMU & KASHMIR,287,0.2,133.2,2.2,2017
State,UTTAR PRADESH,4426,3.4,2200.4,2,2017
State,NAGALAND,33,0,21.1,1.6,2017
City,KOLKATA,216,1.0,141.1,1.5,2017
City,VARANASI,20,0.1,14.4,1.4,2017
State,MANIPUR,43,0,30.5,1.4,2017
City,SRINAGAR,10,0.0,12.7,0.8,2017
City,MEERUT,9,0.0,14.3,0.6,2017
State,BIHAR,388,0.3,1165.5,0.3,2017
City,ALLAHABAD,0,0.0,12.2,0.0,2017
Union Territory,LAKSHADWEEP,0,0,0.7,0,2017
Union Territory,A & N ISLANDS,164,0.1,4,41,2018
City,KOLLAM,393,1.8,11.1,35.4,2018
Union Territory,PUDUCHERRY,500,0.4,14.8,33.8,2018
City,DURG BHILAINAGAR,351,1.6,10.6,33.1,2018
City,RAJKOT,449,2.1,13.9,32.3,2018
City,ASANSOL,391,1.8,12.4,31.5,2018
State,SIKKIM,199,0.1,6.6,30.2,2018
City,RAIPUR,308,1.4,11.2,27.5,2018
City,NAGPUR,680,3.2,25,27.2,2018
City,INDORE,581,2.7,21.7,26.8,2018
State,CHHATTISGARH,7046,5.2,284.7,24.7,2018
City,BENGALURU,2082,9.7,85,24.5,2018
City,CHENNAI,2102,9.8,87,24.2,2018
State,KERALA,8237,6.1,350,23.5,2018
City,VASAI VIRAR,281,1.3,12.2,23,2018
City,AURANGABAD,269,1.3,11.9,22.6,2018
City,GWALIOR,249,1.2,11,22.6,2018
City,DHANBAD,261,1.2,12,21.8,2018
State,TELANGANA,7845,5.8,370.3,21.2,2018
City,BHOPAL,392,1.8,18.8,20.9,2018
City,RANCHI,234,1.1,11.3,20.7,2018
City,JABALPUR,259,1.2,12.7,20.4,2018
City,MADURAI,295,1.4,14.6,20.2,2018
City,THRISSUR,359,1.7,18.6,19.3,2018
City,VIJAYAWADA,286,1.3,14.9,19.2,2018
Union Territory,D & N HAVELI,101,0.1,5.3,19.1,2018
