proid,CATEGORY,CURRENT STATUS,DIV,ESTIMATE AMOUNT  (LAKHS),LOCATION,PROJECT NAME,SOURCE OF FUND,ZONE,YearProposed,YearComplete,PROJECT DEPARTMENT
795,CONCRETE ROAD,WORK ORDER ISSUED,128,20.16, ERIKKARARAI STREET,"LAYING CEMENT CONCRETE ROAD WITH USING M30 GRADE CONCRETE  AT ERIKKARARAI STREET IN DIV-128, U-29, Z-10
",REVENUE FUND,10,2021-22,NA,Zonal
796,STORM WATER DRAIN,WORK IN EXECUTION,129,7.61,"VARIOUS STREETS IN DIVISION-129,UNIT-29,ZONE- X
","CONSTRUCTION OF RAIN WATER HARVESTING STRUCTURE AT VARIOUS STREETS IN DIVISION-129,UNIT-29,ZONE- X
",CAPITAL WORKS,10,2021-22,NA,Zonal
797,STORM WATER DRAIN,WORK ORDER ISSUED,127,24.8, KOYAMBEDU SCHOOL STREET ,"CONSTRUCTION OF STORM WATER DRAIN AT KOYAMBEDU SCHOOL STREET  IN DN-127 U-29 Z-10
",CAPITAL WORKS,10,2021-22,NA,Zonal
798,HEALTH BUILDINGS,WORK ORDER ISSUED,127,22.7,NATESAN NAGAR 5TH MAIN ROAD,"PROPOSED CONSTRUCTION OF COMPOUND WALL UPHC  AT NATESAN NAGAR 5TH MAIN ROAD IN DN-127 U-29  Z-10
",CAPITAL WORKS,10,2021-22,NA,Zonal
799,OFFICE BUILDINGS,WORK ORDER ISSUED,130,7.44, AMMAN KOIL STREET,"MAINTENANCE  WORKS  TO  THE  DIVISION OFFICE AND UNIT OFFICE BUILDING  AT AMMAN KOIL STREET  IN  DIVISION - 130, UNIT - 29, ZONE - 10.
",REVENUE FUND,10,2021-22,NA,Zonal
800,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,127,19.61,"SEMATHAMMAN NAGAR SECTOR-2
","IMPROVEMENT TO THE INTERIOR CC ROAD (PHASE-1) AT SEMATHAMMAN NAGAR SECTOR-2
",TURIP FUND ,10,2021-22,NA,Zonal
801,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,128,20.3,"THANGAL ULVAYAL EXTN
","IMPROVEMENT TO THE INTERIOR CC ROAD (PHASE-1) AT THANGAL ULVAYAL EXTN
",TURIP FUND ,10,2021-22,NA,Zonal
802,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,128,18.34,INDIRA NAGAR 1ST STREET,"IMPROVEMENT TO THE INTERIOR CC ROAD (PHASE-1) AT
INDIRA NAGAR 1ST STREET",TURIP FUND ,10,2021-22,NA,Zonal
803,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,129,4.04,"THIYAGI LOGAIAH STREET
","IMPROVEMENT TO THE INTERIOR CC ROAD (PHASE-1) AT THIYAGI LOGAIAH STREET
",TURIP FUND ,10,2021-22,NA,Zonal
804,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,129,13.16,PURUSOTHAMMAN STREET,"IMPROVEMENT TO THE INTERIOR CC ROAD (PHASE-1) AT PURUSOTHAMMAN STREET
",TURIP FUND ,10,2021-22,NA,Zonal
814,INTERIOR ROAD - CONCRETE ROAD,WORK IN EXECUTION,133,24.17,"ANDIYAPPAN STREET KASIKULAM
","IMPROVEMENT TO THE INTERIOR CC ROAD (PHASE-1) AT ANDIYAPPAN STREET KASIKULAM
",TURIP FUND ,10,2021-22,NA,Zonal
815,INTERIOR ROAD - CONCRETE ROAD,WORK IN EXECUTION,133,5.39,"SHYAMALA VADHANA 1ST CROSS STREET
","IMPROVEMENT TO THE INTERIOR CC ROAD (PHASE-1) AT SHYAMALA VADHANA 1ST CROSS STREET
",TURIP FUND ,10,2021-22,NA,Zonal
820,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,135,7.72,LAKSHMI STREET LANE,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT LAKSHMI STREET LANE
",TURIP FUND ,10,2021-22,NA,Zonal
821,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,137,5.79,KAMARAJ STREET  ,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT KAMARAJ STREET  
",TURIP FUND ,10,2021-22,NA,Zonal
822,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,137,2.6,"SEETHALAI SATHANAR STREET
","IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT SEETHALAI SATHANAR STREET
",TURIP FUND ,10,2021-22,NA,Zonal
823,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,8.85,MANGAI NAGAR 2ND STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MANGAI NAGAR 2ND STREET
",TURIP FUND ,10,2021-22,NA,Zonal
824,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,8.77,"ANNAI SATHYA NAGAR PART 2,3RD STREET","IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT ANNAI SATHYA NAGAR PART 2,3RD STREET
",TURIP FUND ,10,2021-22,NA,Zonal
825,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,21.83,ANNAI SATHYA NAGAR MAIN ROAD,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT ANNAI SATHYA NAGAR MAIN ROAD
",TURIP FUND ,10,2021-22,NA,Zonal
826,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,10.11,"ANNAI SATHYA NAAGAR PART2VARADHARAJAN STREET
","IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT ANNAI SATHYA NAAGAR PART2VARADHARAJAN STREET
",TURIP FUND ,10,2021-22,NA,Zonal
827,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,7.12,ANNAI SATHYA NAGAR PART 2 VARADARAJAN STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT ANNAI SATHYA NAGAR PART 2 VARADARAJAN STREET
",TURIP FUND ,10,2021-22,NA,Zonal
828,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,24.15,MUTHU MARRIAMMAN KOIL STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MUTHU MARRIAMMAN KOIL STREET
",TURIP FUND ,10,2021-22,NA,Zonal
829,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,10.54,RAJARAJA CHOZAN STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT RAJARAJA CHOZAN STREET
",TURIP FUND ,10,2021-22,NA,Zonal
830,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,20.82,MGR NAGAR ZAHIR HUSSAIN  STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT   
MGR NAGAR ZAHIR HUSSAIN  STREET
",TURIP FUND ,10,2021-22,NA,Zonal
831,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,5.6, MGR NAGAR JAHIR  HUSSEIN 1ST STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MGR NAGAR JAHIR  HUSSEIN 1ST STREET
",TURIP FUND ,10,2021-22,NA,Zonal
832,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,2.2," MGR NAGAR ZAHIR HUSSAIN 2ND LANE
","IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MGR NAGAR ZAHIR HUSSAIN 2ND LANE
",TURIP FUND ,10,2021-22,NA,Zonal
833,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,7.97,MGR NAGAR MANIMEGALAI STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MGR NAGAR MANIMEGALAI STREET
",TURIP FUND ,10,2021-22,NA,Zonal
834,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,7.04,"MGR NAGAR YESUNADAHAR ALAYAM STREET
","IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MGR NAGAR YESUNADAHAR ALAYAM STREET
",TURIP FUND ,10,2021-22,NA,Zonal
835,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,9.69,MGR NAGAR NEIDHAL STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT   
MGR NAGAR NEIDHAL STREET

",TURIP FUND ,10,2021-22,NA,Zonal
836,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,9.69, MGR NAGAR KURINJI STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MGR NAGAR KURINJI STREET

",TURIP FUND ,10,2021-22,NA,Zonal
837,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,19.09," MGR NAGAR SUBRAMANIA SIVA STREET
","IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT MGR NAGAR SUBRAMANIA SIVA STREET

",TURIP FUND ,10,2021-22,NA,Zonal
838,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,138,48.02,RIVER BANK ROAD FROM JAWHARLAL SERVICE ROAD TO GANESAN STREET,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT RIVER BANK ROAD FROM JAWHARLAL SERVICE ROAD TO GANESAN STREET


",TURIP FUND ,10,2021-22,NA,Zonal
839,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,140,13.71,SAIBABA LANE,"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT SAIBABA LANE

",TURIP FUND ,10,2021-22,NA,Zonal
843,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,140,7.27,ARANGANATHAN SUBWAY SERVICE ROAD (PART),"IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT ARANGANATHAN SUBWAY SERVICE ROAD (PART)

",TURIP FUND ,10,2021-22,NA,Zonal
845,INTERIOR ROAD - CONCRETE ROAD,WORK ORDER ISSUED,140,7.93,"ADHIKESAPERUMAL KOIL LANE
","IMPROVEMENT TO THE INTERIOR  C C ROAD (PHASE-1) AT ADHIKESAPERUMAL KOIL LANE

",TURIP FUND ,10,2021-22,NA,Zonal
896,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,137,11.31,"RAJIV GANDHI NAGAR GANESAN STREET
","IMPROVEMENT TO THE INTERIOR    B.T. ROAD (PHASE-1) AT
RAJIV GANDHI NAGAR GANESAN STREET
",TURIP FUND ,10,2021-22,NA,Zonal
932,INTERIOR ROAD - BLACK TOP ROAD,WORK ORDER ISSUED,129,8.27,"VIVEKANADAR STREET GANDHU NAGAR (PART)
","IMPROVEMENT TO THE INTERIOR    B.T. ROAD (PHASE-1) AT
VIVEKANADAR STREET GANDHU NAGAR (PART)
",TURIP FUND ,10,2021-22,NA,Zonal
934,INTERIOR ROAD - BLACK TOP ROAD,WORK ORDER ISSUED,129,4.67,"BASKARAN STREET NEHRU NAGAR
","IMPROVEMENT TO THE INTERIOR    B.T. ROAD (PHASE-1) AT  
BASKARAN STREET NEHRU NAGAR
",TURIP FUND ,10,2021-22,NA,Zonal
936,INTERIOR ROAD - BLACK TOP ROAD,WORK ORDER ISSUED,129,3.78,"THIRUVALLUVAR STREET GANDHI NAGAR
","IMPROVEMENT TO THE INTERIOR    B.T. ROAD (PHASE-1) AT
THIRUVALLUVAR STREET GANDHI NAGAR
",TURIP FUND ,10,2021-22,NA,Zonal
990,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,130,1.34,"SOUTH PERUMAL KOIL LANE
","IMPROVEMENT TO THE INTERIOR    B.T. ROAD (PHASE-1) AT
SOUTH PERUMAL KOIL LANE
",TURIP FUND ,10,2021-22,NA,Zonal
1018,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,130,8.77,"RAMAMOORTHY STREET
","IMPROVEMENT TO THE INTERIOR    B.T. ROAD (PHASE-1) AT
RAMAMOORTHY STREET
",TURIP FUND ,10,2021-22,NA,Zonal
1028,PARK FORMATION,AWARDED,127,24.6,KALIYAMMAN KOIL STREET,"PROPOSED FORMATION OF MIYAWAKI THICK FOREST AT KALIYAMMAN KOIL STREET IN DIV-127,UNIT-30,ZONE-10
",CAPITAL WORKS,10,2021-22,NA,Zonal
1029,PARK REJUVENATION,WORK ORDER ISSUED,127,13.8,JAI NAGAR 1&2 PARK AT JAI NAGAR MAIN ROAD,"ANNUAL MAINTENACE ESTIMATE FOR JAI NAGAR 1&2 PARK AT JAI NAGAR MAIN ROAD IN DIV-127,UNIT-29,ZONE-10  
",REVENUE FUND,10,2021-22,NA,Zonal
1030,PARK REJUVENATION,WORK ORDER ISSUED,127,10.51,NATESAN NAGAR PARK AT NATESAN NAGAR MAIN ROAD  AND ROAD SIDE PARK AT WEST NATESAN NAGAR,"ANNUAL MAINTENANCE  ESTIMATE FOR NATESAN NAGAR PARK AT NATESAN NAGAR MAIN ROAD  AND ROAD SIDE PARK AT WEST NATESAN NAGAR IN DIV-127,UNIT-29,ZONE-10  
",REVENUE FUND,10,2021-22,NA,Zonal
1031,PARK REJUVENATION,WORK ORDER ISSUED,137,7.18,ERIKKARAI STREET PARK-2 AT NESAPAKKAM ,"ANNUAL MAINTENANCE OF ERIKKARAI STREET PARK-2 AT NESAPAKKAM  DIV-137,UNIT-28,ZONE-10  
",REVENUE FUND,10,2021-22,NA,Zonal
1033,PARK REJUVENATION,WORK IN EXECUTION,127,20,SAFGV ,"PROVIDING PROTECTING MESH AND REPAIR WORK AT SAFGV B1,B2,B3,B4,B5,B6  BLOCK PARK IN DIV-127, UNIT-29, ZONE10  
",CAPITAL WORKS,10,2021-22,NA,Zonal
1034,SCHOOL BUILDINGS,WORK ORDER ISSUED,142,6.66,CGHS SCHOOL SAIDAPET,"PROVISION OF ELECTRICAL WIRING & LED FITTING, CELLING FAN AND PA SYSTEM IN NEWLY CONSTRUCTED AUDITORIUM  FO CGHS SCHOOL SAIDAPET IN DIV-142,UNIT-30,ZONE-10
",REVENUE FUND,10,2021-22,NA,Zonal
1036,PLAY FIELD - IMPROVEMENTS,WORK ORDER ISSUED,131,9.5,BOBBILIRAJA STREET,"REPAIR AND IMPROVEMENT WORKS TO THE CHILDREN������S PLAYFIELDS AT BOBBILIRAJA STREET IN DIV-131,UNIT-28,  ZONE-10
",REVENUE FUND,10,2021-22,NA,Zonal
1037,PLAY FIELD - IMPROVEMENTS,WORK ORDER ISSUED,136,24.11,SOMASUNDARAM PLAYGROUND,"RAISING THE EXISTING COMPOUND WITH ORNAMENTAL  GRILL AT SOMASUNDARAM PLAYGROUND (EAST & WEST) AND PROVIDING PERGOLA IN DIV-136,UNIT-30,ZONE-10
",CAPITAL WORKS,10,2021-22,NA,Zonal
1038,PLAY FIELD - IMPROVEMENTS,WORK ORDER ISSUED,136,24.79,SOMASUNDARAM PLAYGROUND,"RAISING THE EXISTING COMPOUND WITH ORNAMENTAL  GRILL AT SOMASUNDARAM PLAYGROUND (NORTH & SOUTH)  IN           DIV-136,UNIT-30,ZONE-10
",CAPITAL WORKS,10,2021-22,NA,Zonal
1039,SCHOOL BUILDINGS,WORK ORDER ISSUED,140,5.22,"METTUPALAYAM, SCHOOL STREET","IMPROVEMENTS WORKS TO CHENNAI MIDDLE SCHOOL METTUPALAYAM, SCHOOL STREET IN DIV-140,  UNIT-30,   
 ZONE-10
",REVENUE FUND,10,2021-22,NA,Zonal
1040,SKYWALK,WORK IN EXECUTION,136,2845,"MAMBALAM RAILWAY STATION TO T. NAGAR BUS TERMINUS IN DN- 136, ZONE ������ X","CONSTRUCTION OF SKYWALK WITH ESCALATORS FROM MAMBALAM RAILWAY STATION TO T. NAGAR BUS TERMINUS IN DN- 136, ZONE ������ X",SMART CITY FUND,10,2021-22,NA,Zonal
1041,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,8.05,ARUNDALE STREET,RELAYING OF BT ROAD AT ARUNDALE STREET,TAMIL NADU URBAN ROAD INFRASTRUCTURE FUND (TURIF)+ INFRASTRUCTURE & AMENITIES (I AND A),9,2021-22,NA,Zonal
1045,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,5.5,"JUSTICE RAMAKRISHNA STREET, MYLAPORE","JUSTICE RAMAKRISHNA STREET, MYLAPORE (TNUDF - 2020- 21 PRIORITY II)",OWN SOURCES,9,2021-22,NA,Zonal
1046,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,11.62,"P.V KOIL STREET, MYLAPORE","P.V KOIL STREET, MYLAPORE 9TNUDF 2020 - 21 ( PRIORITY II))",OWN SOURCES,9,2021-22,NA,Zonal
1047,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,8.07,"SULLIVAN STREET,SANTHOME","SULLIVAN STREET,SANTHOME 9TNUDF 2020 - 21 ( PRIORITY II))",OWN SOURCES,9,2021-22,NA,Zonal
1081,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,4.56,"VENKATASAMY STREET,SANTHOME","VENKATASAMY STREET,SANTHOME 9TNUDF 2020- 21( PRIORITY II))",OWN SOURCES,9,2021-22,NA,Zonal
1082,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,4.28,"CUSTAIN BEACH RD,SANTHOME","CUSTAIN BEACH RD,SANTHOME (TNUDF 2020 - 21 ( PRIORITY II))",TURIP FUND ,9,2021-22,NA,Zonal
1083,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,7.49,"DEMONTE STREET,SANTHOME","DEMONTE STREET,SANTHOME (TNUDF 2020 - 21 ( PRIORITY II))",OWN SOURCES,9,2021-22,NA,Zonal
1087,CONCRETE ROAD,UC GIVEN,53,11,TEST LOCATION,TEST PROJECT NAME,KFW,5,2021-22,NA,Zonal
1089,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,8.87,"MUTHU STREET,SANTHOME","MUTHU STREET,SANTHOME (TNUDF 2020 - 21 ( PRIORITY II))",OWN SOURCES,9,2021-22,NA,Zonal
1090,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,4.75,"MUTHU KRISHNAN STREET,SANTHOME","MUTHU KRISHNAN STREET,SANTHOME (TNUDF 2020 - 21 (PRIORITY II))",OWN SOURCES,9,2021-22,NA,Zonal
1091,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,125,10.8,"ROSARY CHURCH STREET, SANTHOME","ROSARY CHURCH STREET, SANTHOME (TNUDF 2020- 21 ( PRIORITY II))",OWN SOURCES,9,2021-22,NA,Zonal
1104,PARK REJUVENATION,WORK IN EXECUTION,156,12,"SABARI NAGAR II MAIN ROAD PARK, SSI GREEN PARK, KALAMAGAL PARK ,CRR PURAM L&T COLONY PARK, KUNDRATHUR MAIN ROAD PARK, ANNAI VELANKANNI NAGAR PH-II MAIN ROAD PARK SANTHOSH NAGAR PARK, AND SABARI NAGAR VTH PARK.
","PROVIDING WATER SUPPLY ARRANGEMENT FOR PARKS

",REVENUE FUND,12,2021-22,NA,Zonal
1106,OTHER BUILDING,WORK IN EXECUTION,156,1.31,"NADHAGOBALRAJA STREET AND PADASALAI STREET
","REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1107,OTHER BUILDING,WORK IN EXECUTION,157,0.88,"M.G.ROAD ,MADIPAKKAM","REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1108,OFFICE BUILDINGS,WORK IN EXECUTION,157,2.12,VALLESHWARAN KOVIL STREET MADIPAKKAM,REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1109,OTHER BUILDING,WORK IN EXECUTION,160,3.12,NEW STREET ,RE-PAIR AND MAINTENANCE WORK TO EXISTING TOILET IN GYM BUILDING AND GYM MATERIALS,CAPITAL WORKS,12,2021-22,NA,Zonal
1110,OTHER BUILDING,WORK IN EXECUTION,160,5.51,MARGOUS STREET,IMPROVEMENT WORKS TO EXISTING MULTIPURPOSE HALL.,CAPITAL WORKS,12,2021-22,NA,Zonal
1111,OTHER BUILDING,WORK IN EXECUTION,160,4.2,SUPER BAZZAR BUILDING)  NEW STREET,IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1112,OTHER BUILDING,WORK IN EXECUTION,160,1.8,MKN ROAD ,IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1113,OTHER BUILDING,WORK IN EXECUTION,161,0.78,SOUTH RAJA STREET AND VELACHERY ROAD AMMA UNANAGAM,REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1114,OTHER BUILDING,WORK IN EXECUTION,162,0.72,THILLAI GANGA 1 MAIN ROAD AND MKN ROAD,REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1115,OTHER BUILDING,WORK IN EXECUTION,163,0.92,BALAKRISHNAPPURAM MAIN  ROAD ,REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1116,OTHER BUILDING,WORK IN EXECUTION,159,1.15,"ANNA STREET,  MEENAMBAKKAM 
","REPAIR AND MAINTENANCE WORK OF P.C 
",REVENUE FUND,12,2021-22,NA,Zonal
1117,OTHER BUILDING,WORK IN EXECUTION,164,1.41,NANGANALLUR IV MAIN ROAD AMMA UNAVAGAM ,IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1118,OTHER BUILDING,WORK IN EXECUTION,164,2.15,KRISHNASAMY STREET,IMPROVEMENT WORKS-AMMA UNAVAGAM,REVENUE FUND,12,2021-22,NA,Zonal
1119,OTHER BUILDING,WORK IN EXECUTION,164,0.38,NEW COLONY I STREET,IMPROVEMENTS WORKS TO COMMUNITY HALL ,REVENUE FUND,12,2021-22,NA,Zonal
1120,OTHER BUILDING,WORK IN EXECUTION,159,0.95,"V.O.C  MEENAMBAKKAM 
","REPAIR AND MAINTENANCE WORK OF P.C
",REVENUE FUND,12,2021-22,NA,Zonal
1121,OTHER BUILDING,WORK IN EXECUTION,159,0.34,"MEENAMBAKKAM
","IMPROVEMENT WORKS - AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1122,OTHER BUILDING,WORK IN EXECUTION,158,0.85,"BAJANAI KOVIL STREET , AMMA UNAVAGAM  
","REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1123,OTHER BUILDING,WORK IN EXECUTION,165,1.88,"SOUTH NEW STREET
","REPAIR AND IMPROVEMENT WORKS - AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1124,OTHER BUILDING,WORK IN EXECUTION,158,0.86,"BURMA COLONY,  AMMA UNAVAGAM 
","REPAIR AND IMPROVEMENT WORKS-AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1125,OTHER BUILDING,WORK IN EXECUTION,165,0.62,"BALAJI NAGAR  MAIN ROAD 
","REPAIR AND IMPROVEMENT WORKS- AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1126,OTHER BUILDING,WORK IN EXECUTION,166,1.43,"BURMA TAMIZHER COLONY III  
","REPAIR WORKS TO PUBLIC CONVENIENCE
",REVENUE FUND,12,2021-22,NA,Zonal
1127,OTHER BUILDING,WORK IN EXECUTION,166,1.38,"NEHRU HIGH ROAD
","REPAIR WORKS TO PUBLIC CONVENIENCE
",REVENUE FUND,12,2021-22,NA,Zonal
1128,OTHER BUILDING,WORK IN EXECUTION,166,1.83,"B.V NAGAR III MAIN ROAD AND NEHRU HIGH ROAD
","REPAIR WORKS TO AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1129,OTHER BUILDING,WORK IN EXECUTION,167,0.65,"KANNAN NAGAR, I MAIN ROAD
","IMPROVEMENT WORKS-AMMA UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1130,OTHER BUILDING,WORK IN EXECUTION,167,0.5,"NANGANALLUR, 100 FEET ROAD 
","IMPROVEMENT  WORKS-AMMA  UNAVAGAM
",REVENUE FUND,12,2021-22,NA,Zonal
1132,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,167,5.23,"VARIOUS STREET
","PROPOSED THERMOPLASTIC PAINTING WORKS TO EXISTING SPEED BREAKER 
",REVENUE FUND,12,2021-22,NA,Zonal
1133,STORM WATER DRAIN,WORK IN EXECUTION,167,5.86,"AGS COLONY, VTH STREET
","COSTRUCTION OF MISSING LINK SWD
",REVENUE FUND,12,2021-22,NA,Zonal
1134,CULVERT,WORK IN EXECUTION,167,3,"NANGANALLUR, VITH MAIN ROAD 
","DEMOLITION AND RECONSTRUCTION OF EXISTING CULVERT
",REVENUE FUND,12,2021-22,NA,Zonal
1135,STORM WATER DRAIN,WORK IN EXECUTION,167,3.57,"HINDU COLONY, 1ST CROSS STREET
","IMPROVEMENT TO THE EXISTING SWD
",REVENUE FUND,12,2021-22,NA,Zonal
1136,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,5.83,J BLOCK 6TH STREET ,"IMPROVEMENTS TO THE INTERIOR BT ROAD AT J BLOCK 6TH STREET IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
1137,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,2.18,J BLOCK 7TH STREET ,IMPROVEMENTS TO THE INTERIOR BT ROAD AT J BLOCK 7TH STREET IN DIV 99 UNIT 21 ZONE 8,OWN SOURCES,8,2021-22,NA,Zonal
1138,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,2.41,J BLOCK 8TH STREET ,"IMPROVEMENTS TO THE INTERIOR BT ROAD AT J BLOCK 8TH STREET IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
1139,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,5.66,H BLOCK 4TH STREET ,"IMPROVEMENTS TO THE INTERIOR BT ROAD AT H BLOCK 4TH STREET IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
1140,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,24.78,H BLOCK 5TH STREET ,"IMPROVEMENTS TO THE INTERIOR BT ROAD AT H BLOCK 5TH STREET IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
1141,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,2.26,H BLOCK 7TH STREET ,"IMPROVEMENTS TO THE INTERIOR BT ROAD AT H BLOCK 7TH STREET IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
1142,INTERIOR ROAD - BLACK TOP ROAD,WORK IN EXECUTION,99,21.1,12TH MAIN ROAD PART ,"IMPROVEMENTS TO THE INTERIOR BT ROAD AT 12TH MAIN ROAD PART IN DIV 99, UNIT 21, ZONE 8",OWN SOURCES,8,2021-22,NA,Zonal
